id;id_ex;siret;rup_mi;gestion;date_creat;date_decla;date_publi;date_disso;nature;groupement;titre;titre_court;objet;objet_social1;objet_social2;adrs_complement;adrs_numvoie;adrs_repetition;adrs_typevoie;adrs_libvoie;adrs_distrib;adrs_codeinsee;adrs_codepostal;adrs_libcommune;adrg_declarant;adrg_complemid;adrg_complemgeo;adrg_libvoie;adrg_distrib;adrg_codepostal;adrg_achemine;adrg_pays;dir_civilite;siteweb;publiweb;observation;position;maj_time
"W2B2000001";".";"";"";"2B2P";"2006-02-06";"2006-02-06";"0001-01-01";"0001-01-01";"D";"S";"A FIERA DI U NEBBIU";"A FIERA DI U NEBBIU";"ORGANISATION DE LA FOIRE DU NEBBIU OU TOUTES AUTRES MANIFESTIONS COMMERCIALES OU ARTISANALES DANS LE BUT DE PROMOUVOIR LA MICRO RÉGION DU NEBBIU";"022542";"000000";"";"";" ";"";"";"_";"2B172";"20239";"Murato";"";"";"";"";"";"20239";"MURATO";"FRANCE";"PM";"";"0";"";"A";"2008-08-11 18:27:26"
"W2B2000002";"02B1001223";"";"";"2B2P";"1979-10-05";"2020-01-24";"1979-10-20";"0001-01-01";"D";"S";"TENNIS CLUB DE LA COSTA VERDE";"TENNIS CLUB COSTA VERDE";"organiser, administre, diriger et développerla pratique du tennis";"011165";"011170";"";"";" ";"";"RN 198 - Moriani";"_";"2B313";"20230";"San-Nicolao";"";"";"";"";"SUERTOLOI";"20215";"VESCOVATO";"FRANCE";"PM";"";"1";"";"A";"2020-01-29 09:51:04"
"W2B2000003";"02B1000908";"";"";"2B2P";"1976-05-28";"2021-09-15";"1976-06-13";"0001-01-01";"D";"S";"ASSOCIATION DEPARTEMENTALE DES PUPILLES DE L'ENSEIGNEMENT PUBLIC DE LA HAUTE CORSE";"ASSOCIATION DEPARTEMENTALE DES PUPI...";"elle a pour objet dans le cadre du projet fédéral; de contribuer à la lutte contre les exclusions et les inégalités sanitaires, sociales, économiques et culturelles, à l'éducation à la citoyenneté, notamment par l'éducation populaire, à la préservation et au développement du lien social, au maintien et au renforcement de la cohésion territoriale, en concourant au développement durable dans ses dimensions économique, sociale, environnementale et participative, à la transition énergétique ou à la solidarité internationale ; de contribuer à l'édification d'une société inclusive, permettant à chaque citoyen de jouer le rôle social qu'il souhaite ; d'apporter un accompagnement matériel, moral et social, aux enfants, aux adolescents, aux adultes, à leur famille, à leurs proches aidants tout particulièrement aux personnes en situation de pauvreté, de vulnérabilité ou de fragilité, d'exclusion social, de handicap ou de perte d'autonomie, ou ayant besoin d'une protection ; de participer à leur éducation, à leur formation et à leur insertion sociale et professionnelle dans une société inclusive ; de permettre à toute personne d'accéder à ses droits ; à la santé, à l'éducation, à la formation tout au long de la vie, aux loisirs, à une vie culturelle ou des activités sportives afin de faciliter l'exercice de sa citoyenneté ; de participer au développement local en s'impliquant dans les manifestations à caractère social, culturel, de loisirs, sportif, etc en toute neutralité partisane ; pour cela l'association représente le mouvement PEP auprès de toute institution ou organisme public revêtant un caractère départemental et mène les actions qu'elle estime nécessaires en termes de plaidoyer ou d'interpellation en lien étroit avec l'OARPEP ou l'ARPEP et la tête de réseau de la FGPEP";"050000";"000000";"Groupe Scolaire F-Amadeï";"";" ";"RUE";"Sainte Thérèse";"_";"2B033";"20600";"Bastia";"";"ADPEP 2B";"GROUPE SCOLAIRE F-AMADEï";"RUE SAINTE THéRèSE";"";"20600";"BASTIA";"FRANCE";"PM";"";"0";"";"A";"2021-09-28 12:45:42"
"W2B2000004";"02B1003017";"";"";"2B2P";"1993-05-19";"2006-01-20";"1993-06-16";"0001-01-01";"D";"S";"COMITE LOCAL C.G.T. POUR LE DROIT DU TRAVAIL";"COMITE LOCAL C.G.T. POUR LE DROIT D...";"INFORMER LES TRAVAILLEURS PRIVES D'EMPLOI ET LES PRECAIRES DE LEURDROITS, OBTENIR LA GARANTIE DES DROITS SOCIAUX DES CHOMEURS, INTERVENIR EN DIRECTION DES POUVOIRS PUBLICS ET DES EMPLOYEURS, FAIRE";"030000";"030000";"";"";" ";"";"";"_RUE SAINT ANGELO";"2B033";"20200";"Bastia";"";"";"";"";"RUE SAINT ANGELO";"20200";"BASTIA";"FRANCE";"PC";"";"0";"";"A";"2008-08-11 18:27:26"
"W2B2000005";"02B1000700";"";"";"2B2P";"1971-07-18";"2021-09-13";"1971-08-01";"0001-01-01";"D";"S";"SCOLA CORSA";"SCOLA CORSA";"ASSOCIATION A VOCATION CULTURELLE S'INTERESSANT AU PATRIMOINE ARTISTIQUE, SCIENTIFIQUE ET LINGUISTIQUE CORSE.FORMATION, RECHERCHE, EDITION.";"006000";"006000";"";"31";" ";"BD";"Paoli";"_";"2B033";"20200";"Bastia";"";"";"";"31  BOULEVARD PAOLI";"";"20200";"BASTIA";"FRANCE";"PM";"";"0";"";"A";"2021-09-13 14:16:03"
"W2B2000006";"02B1003729";"";"";"2B2P";"1997-07-29";"2020-10-09";"1997-08-23";"0001-01-01";"D";"S";"VISALTIS'GE";"VISALTIS'GE";"embauche de personnes sur des contrats de travail permettant l'organisation de parcours professionnels au moyen de mises à disposition successives exclusivement auprès des entreprises adhérentes de l'association ; recherche collective de toutes les possibilités d'emploi stabilisé à l'issue du contrat de travail signé avec l'association, en particulier eu sein des entreprises adhérentes ; ccn applicable : convention collective nationale des ouvriers du bâtiment idcc 1597";"030000";"030005";"";"45 bis";" ";"RUE";"Cesar Campinchi";"_";"2B033";"20200";"Bastia";"";"";"";"45 BIS RUE CESAR CAMPINCHI";"";"20200";"BASTIA";"FRANCE";"PF";"";"1";"";"A";"2020-10-17 12:45:49"
"W2B2000007";"02B1000880";"";"";"2B2P";"1976-01-21";"2021-08-24";"1976-02-11";"2021-02-11";"D";"S";"ASSOCIATION POUR LA GESTION DE LA SECTION CORSE DU FONDS D'ASSURANCE DES SALARIES DES PETITES ET MOYENNES ENTREPRISES - AGEFOS PME CORSE";"ASSOCIATION POUR LA GESTION DE LA S...";"GERER LA SECTION CORSE DU FONDS D'ASSURANCE, FORMER LES SALARIES DES MOYENNES ET PETITES ENTREPRISES.";"030005";"030020";"Route du stade";"";" ";"ALL";"des Fleurs";"_";"2B120";"20600";"Furiani";"";"AGEFOS-PME";"";"ROUTE DU STADE";"";"20200";"BASTIA";"FRANCE";"PF";"";"1";"";"D";"2021-09-01 07:45:40"
"W2B2000008";"";"";"";"2B2P";"2006-02-06";"2006-02-06";"0001-01-01";"0001-01-01";"D";"S";"JAM";"JAM";"PROMOUVOIR DE LA SCENE MUSICALE REGIONALE EN CORSE SUR LE TERRITOIRE NATIONAL ET A L'ETRANGER, EN PRIORITE PAR LE BIAIS DU RESEAU ASSOCIATIF. AIDE A LA CREATION ET LA PRODUCTION MUSICALE INSULAIRE. ACTIVITES PEDAGOGIQUE AYANT POUR SUPPORT LA MUSIQUE , L'EXPRESSION SCENIQUE, LES ARTS PLASTIQUES, LE MULTIMEDIAS. ORGANISATION D'ATELIERS CULTURELS, COURS DE MUSIQUE, THEATRES,";"006070";"006070";"";"BT B";" ";"";"LES ASPHODELES";"_QUARTIER ANNONCIADE";"2B033";"20200";"Bastia";"";"";"";"BT B   LES ASPHODELES";"QUARTIER ANNONCIADE";"20200";"BASTIA";"FRANCE";"PF";"";"0";"";"S";"2009-11-04 15:58:24"
"W2B2000009";"02B1003509";"";"";"2B2P";"1996-03-21";"2011-01-18";"1996-04-10";"2010-11-29";"D";"S";"COMITE DE QUARTIER DE PAESE - NOVU";"COMITE DE QUARTIER DE PAESE - NOVU";"LA PROMOTION DU QUARTIER. REALISATION DE PROJETS POUR LES HABITANTS DU QUARTIER";"024045";"024000";"centre social de la C.A.F.";"";" ";"RTE";"Impériale";"_";"2B033";"20200";"Bastia";"";"";"";"CENTRE SOCIAL DE LA C.A.F";"ROUTE IMPERIALE";"20200";"BASTIA";"FRANCE";"PF";"";"0";"";"D";"2011-02-11 10:42:45"
"W2B2000010";"02B1004396";"";"";"2B2P";"2001-09-20";"2020-07-02";"2001-10-06";"0001-01-01";"D";"S";"ASSOCIATION VOCE";"ASSOCIATION VOCE";"CREATION GROUPE CULTUREL - ANIMATIONS";"006030";"006000";"l'Angiolasca";"";" ";"RES";"Pancrazi Bâtiment C";"_";"2B166";"20290";"Monte";"";"L'ANGIOLASCA";"";"RESIDENCE PANCRAZI BâTIMENT C";"";"20290";"MONTE";"FRANCE";"PM";"";"0";"";"A";"2020-12-31 20:00:14"
