NUMERO RNA,NOM,OBJET,DATE DE RECONNAISSANCE D'UTILITE PUBLIQUE,DATE DE DERNIERE MODIFICATION STATUTAIRE,"ADRESSE
SIEGE SOCIAL",CP,VILLE
, A CHACUN SON EVEREST,"Accompagner les enfants et adolescents des services d’Oncohématologie Pédiatrique et éventuellement leurs familles, pour les aider à atteindre leur sommet et les soutenir dans leur maladie. Fort de son expérience reconnue, de sa volonté de se développer, de pérenniser son action à Chamonix et de répondre aux besoins de santé publique.",23/12/2002,31/07/2014,"703, rue Joseph Vallot",74400,CHAMONIX-MONT-BLANC
, ACTION CATHOLIQUE DES FEMMES,"Oeuvrer pour la dignité et la promotion des femmes dans la société ; favoriser la promotion individuelle et collective des femmes dans leur vie personnelle, familiale, sociale, professionnelle, civique, en conformité avec les valeurs chrétiennes ; collaborer à l’éducation permanente et à la culture des adultes, jeunes et enfants ; travailler à l’aménagement d’une meilleure justice sociale, sur le plan régional, national et international",25/01/2017,,"98, rue de l'université",75007,PARIS
, ALLIANCE GALATASARAY,"Soutien financier au personnel enseignant turc, français ou étranger, francophone de l'université de Galatasaray.",16/11/2000,,102 avenue des Champs Elysées,75008,PARIS
, ASSOCIATION AMICALE DES A.E. DE LAVOISIER,"Aide professionnelle pour les jeunes gens sortant, et attribution d'une bourse aux élèves.",13/07/1923,23/05/1979,"19 , rue Henri Barbusse",75005,PARIS
W133008160, ASSOCIATION DES DAMES DE LA PROVIDENCE,"Recueillir les enfants et jeunes filles pauvres orphelins moralement abandonnés ou en difficulté momentanée en vue de leur donner l'instruction ainsi que l'éducation religieuse, intellectuelle, morale et professionnelle qui permettra leur reclassement dans la société.",22/02/1872,14/06/2007,168 Boulevard Rabatau,13010,MARSEILLE
, ASSOCIATION DES DAMES DE LA PROVIDENCE,"Assurer aux jeunes filles notamment celles qui sont orphelines, éducation et instruction en vue d'une formation technique et professionnelle et accueillir en foyer les jeunes travailleuses.",16/06/1824,07/02/1968,"6, cloitre Saint-Aignan",45000,ORLEANS
, ASSOCIATION DES ECRIVAINS DE LANGUE FRANCAISE (ADELF),Encourager et soutenir les écrivains de langue française et favoriser l'expansion des littératures de  langue  française.,19/07/1952,07/12/1970,"22, rue Deparcieux",75014,PARIS
, AUVERGNE-RHONE-ALPES,"Fournir aux associations affiliées coordination, appui et force dans les actions décidées par son conseil d'administration et son assemblée générale conformément aux présents statuts.",14/12/2005,"11/04/2016
18/08/2020","5, Le Clos de la Tour",83120,Le Plan-de-la- Tour
W121000157, CHARLES PREVOST NOTRE DAME DE LENNE,"Se mettre au service des personnes parmi les plus défavorisées, les plus fragiles, particulièrement celles touchées par diverses formes de désavantage social, d’exclusion, de discrimination ou de dépendance.",11/02/1944,"12/03/2009
02/10/2019",18 bis Avenue de Castelnau,34090,MONTPELLIER
, E-ENFANCE,"Protection des enfants et des adolescents contre les risques liés à l'utilisation de tous moyens de communication interactifs (internet, téléphone mobile, ordinateur, télévision)",19/04/2010,,"57, avenue Paul Doumer",75116,PARIS
, ENTRAIDE LUTHERIENNE DE L'INSPECTION DE PARIS,Venir en aide aux personnes domiciliées sur le territoire de l’inspection de Paris de l’Église Evangélique Luthérienne de France ou en tout autre lieu.,30/05/1906,07/12/2006,"16, rue Chauchat",75001,PARIS
, FEDERATION  NATIONALE DES ANCIENS D'OUTRE-MER ET DES ANCIENS COMBATTANTS  DES TROUPES DE MARINE,Grouper toutes les associations d'anciens coloniaux de France d'Algérie des colonies et pays de protectorat (militaires et civils leurs  veuves épouses et orphelins) sans distinction de couleur.,25/12/1929,08/12/2004,1 rue Charles-Axel Guillaumot,92500,RUEIL MALMAISON
, FEDERATION NATIONALE DES FILS DES MORTS POUR LA FRANCE – LES FILS DES TUES,"Aider moralement et matériellement ses membres, fils des morts pour la France.",17/12/1947,14/04/1999,"3, rue Dramen",75011,PARIS
, FRANCE NATURE ENVIRONNEMENT AUVERGNE-RHONE-ALPES,"Susciter, promouvoir et coordonner les activités d'éducation, d'information, de formation, ainsi que de protection et d'aménagement dans tous les domaines de la nature.",21/06/1984,13/03/2020,77 r Jean Claude Vivant,69100,VILLEURBANNE CEDEX
, LA PREVENTION ROUTIERE,Accroître la sécurité des usagers en encourageant toutes mesures ou initiatives propres à réduire les accidents.,03/05/1955,22/05/2017,33 rue de Mogador,75009,PARIS
W261000500, MAISON D'ACCUEIL PROTESTANTE POUR ENFANTS (AMAPE),"Accueillir, héberger, instruire, élever, éduquer et plus généralement avec un but exclusif d'assistance et de bienfaisance, aider matériellement et moralement les enfants qui lui sont confiés ou qu’elle recueille pour un motif quelconque, notamment les enfants orphelins ou abandonnés, ainsi que ceux  qui lui sont confiés par les autorités administratives ou judiciaires.",22/02/1865,19/02/1965,"97, rue de la Calade
BP 513",26401,CREST CEDEX
W103002703, PATRONAGES LAIQUES DE TROYES ET DE L'AGGLOMERATION,"Compléter l’oeuvre de l’enseignement laîque en assurant aux élèves qui la fréquentent la surveillance qui peut, les jours de congés et de vacanes, leur manquer dans leur famille, en leur procurant à cette occasion les distractions et les activités socio-éducatives et sportives toutes natures favorables à leur développement ; Promouvoir, organiser, soutenir et favoriser les sports et les œuvres d’éducation et de formation permanente, professionnelle, culturelle et autres s’adressant aux enfants, aux adolescents et aux adultes.",20/12/1917,30/03/2000,"100, avenue Robert Schuman - BP 2018",10010,TROYES CEDEX
W062003539, S.O.S. GRAND BLEU,"Promotion, mise en œuvre @ encouragement de toutes actions visant à protéger le biotope marin et + particulièrement les espèces menacées / le développement des activités humaines s/ mer ou /s terre ayant des incidences s/ la flore ou la faune de la Méditerranée.",10/01/2005,,Quai du Vieux port,06230,SAINT-JEAN-CAP-FERRAT
,"
BANQUE FRANCAISE DES YEUX, FEDERATION DES CENTRES DE PRELEVEMENT, DE CONSERVATION ET DE TRANSPLANTATION OCULAIRE","Lutter contre la cécité par tous les moyens sur le territoire national. Dans cet esprit, elle concourt à l’aide et à la participation, aux recherches scientifiques relatives à l’amélioration et à la prévention de la cécité totale ou partielle ; Fédérer les centres, les personnes physique et morales, travaillant au prélèvement, à la conservation et à la transplantation oculaire ; Développer la promotion en faveur du prélèvement oculaire à but thérapeuthique ou scientifique pour les activités de transplantation en ophtalmologie ; Favoriser par une aide matérielle ou logistique le prélèvement, la conservation, la distribution, de tissus ou cellules humaines utilisés à des fins thérapeutiques en ophtalmologie au sein des établissements publics de santé et organismes exerçant des activités de conservation, transformation, distribution et cession de tissus ou de leurs dérivés à des fins thérapeutiques ou scientifiques chez l’homme.",07/04/1961,17/09/2010,"172, rue de Charonne",75011,PARIS
,"
LA MAISON MATERNELLE","Recueillir les enfants de familles éprouvées par la maladie, le chômage, la séparation ou la disparition du père ou de la mère",27/01/1899,13/11/2007,6 rue Emile Dubois,75014,PARIS
